timestamp,delay_minutes,hour,day_of_week,is_weekend,is_morning_rush,is_evening_rush,is_rush_hour,hour_sin,hour_cos,day_sin,day_cos,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,rolling_mean_60min,rolling_std_60min,rolling_mean_120min,rolling_std_120min,rolling_mean_240min,rolling_std_240min,weather_rain
2025-10-01 02:00:00,23.32,2,2,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,4.68,12.56,6.41,6.55,5.45,9.88,12.8,9.48,11.7425,8.426570575665208,10.20625,6.156130365044958,10.125555555555556,5.763618895952245,0
2025-10-01 02:15:00,2.43,2,2,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,23.32,4.68,12.56,6.41,6.55,5.45,9.88,12.8,10.7475,9.440131972947553,8.91,6.6072038607222385,9.356,5.954026088846661,0
2025-10-01 02:30:00,12.76,2,2,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,2.43,23.32,4.68,12.56,6.41,6.55,5.45,9.88,10.7975,9.453452191307328,9.27,6.744635963913418,9.665454545454546,5.740972676535509,1
2025-10-01 02:45:00,8.62,2,2,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,12.76,2.43,23.32,4.68,12.56,6.41,6.55,5.45,11.782499999999999,8.785216275083956,9.66625,6.579239941990694,9.578333333333333,5.482116103266782,0
2025-10-01 03:00:00,2.51,3,2,0,0,0,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,8.62,12.76,2.43,23.32,4.68,12.56,6.41,6.55,6.58,5.037903002903754,9.161249999999999,6.994543664273501,9.034615384615385,5.602884101639999,0
2025-10-01 03:15:00,11.26,3,2,0,0,0,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,2.51,8.62,12.76,2.43,23.32,4.68,12.56,6.41,8.7875,4.52139635510978,9.7675,6.931919441457549,9.19357142857143,5.4158337764840505,1
2025-10-01 03:30:00,9.8,3,2,0,0,0,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,11.26,2.51,8.62,12.76,2.43,23.32,4.68,12.56,8.0475,3.846343501734256,9.4225,6.841171056812674,9.234,5.221176386327401,1
2025-10-01 03:45:00,12.09,3,2,0,0,0,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,9.8,11.26,2.51,8.62,12.76,2.43,23.32,4.68,8.915,4.373667416101352,10.348749999999999,6.604890909664704,9.4125,5.094418514413593,1
2025-10-01 04:00:00,8.83,4,2,0,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,12.09,9.8,11.26,2.51,8.62,12.76,2.43,23.32,10.495000000000001,1.4588237270714635,8.5375,4.021022435720975,9.371875000000001,5.096435641700972,0
2025-10-01 04:15:00,14.14,4,2,0,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,8.83,12.09,9.8,11.26,2.51,8.62,12.76,2.43,11.215,2.381295165800888,10.001249999999999,3.588200653331894,9.455625,5.167046827411831,0
2025-10-01 04:30:00,8.06,4,2,0,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,14.14,8.83,12.09,9.8,11.26,2.51,8.62,12.76,10.780000000000001,2.8405750591502903,9.41375,3.454247643947129,9.341875,5.177105006661542,0
2025-10-01 04:45:00,21.12,4,2,0,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,8.06,14.14,8.83,12.09,9.8,11.26,2.51,8.62,13.037500000000001,6.0282909407780485,10.97625,5.350537856808683,10.32125,5.83247788965662,1
2025-10-01 05:00:00,9.5,5,2,0,0,0,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,21.12,8.06,14.14,8.83,12.09,9.8,11.26,2.51,13.205000000000002,5.879895123781264,11.850000000000001,4.2222573515664745,10.505625,5.751377769717444,0
2025-10-01 05:15:00,10.02,5,2,0,0,0,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,9.5,21.12,8.06,14.14,8.83,12.09,9.8,11.26,12.175,6.020683792837268,11.695,4.269506495402684,10.731250000000001,5.649910766256992,1
2025-10-01 05:30:00,4.96,5,2,0,0,0,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,10.02,9.5,21.12,8.06,14.14,8.83,12.09,9.8,11.4,6.866983811446382,11.09,4.876207542752872,10.25625,5.8033058107714215,1
2025-10-01 05:45:00,7.32,5,2,0,0,0,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,4.96,10.02,9.5,21.12,8.06,14.14,8.83,12.09,7.95,2.31116132424084,10.49375,5.025798976992898,10.42125,5.670195616848976,0
2025-10-01 06:00:00,4.7,6,2,0,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,7.32,4.96,10.02,9.5,21.12,8.06,14.14,8.83,6.75,2.47819827024931,9.977500000000001,5.417932526078824,9.2575,4.668709314860657,0
2025-10-01 06:15:00,5.28,6,2,0,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,4.7,7.32,4.96,10.02,9.5,21.12,8.06,14.14,5.565,1.193803445574971,8.870000000000001,5.350642151047989,9.435625,4.439600535708891,0
2025-10-01 06:30:00,35.2,6,2,0,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,5.28,4.7,7.32,4.96,10.02,9.5,21.12,8.06,13.125,14.759497507255006,12.2625,10.696768203527643,10.838125000000002,7.818483415386048,1
2025-10-01 06:45:00,28.75,6,2,0,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,35.2,5.28,4.7,7.32,4.96,10.02,9.5,21.12,18.4825,15.80252801505717,13.216249999999999,11.874649994841953,12.096250000000001,8.97225120394356,0
2025-10-01 07:00:00,20.02,7,2,0,0,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,28.75,35.2,5.28,4.7,7.32,4.96,10.02,9.5,22.3125,12.947209158733786,14.53125,11.986289116557897,13.190625,8.791080683473071,0
2025-10-01 07:15:00,2.2,7,2,0,0,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,20.02,28.75,35.2,5.28,4.7,7.32,4.96,10.02,21.5425,14.316955856605832,13.55375,12.704117372501157,12.624375,9.205732973714442,1
2025-10-01 07:30:00,7.1,7,2,0,0,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,2.2,20.02,28.75,35.2,5.28,4.7,7.32,4.96,14.5175,12.10484303904846,13.821250000000001,12.518489682408633,12.455625000000001,9.285360498296948,0
2025-10-01 07:45:00,1.69,7,2,0,0,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,7.1,2.2,20.02,28.75,35.2,5.28,4.7,7.32,7.7524999999999995,8.534273548463272,13.1175,13.08175911063078,11.805625000000001,9.668759981679829,1
2025-10-01 08:00:00,19.13,8,2,0,1,0,1,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.69,7.1,2.2,20.02,28.75,35.2,5.28,4.7,7.529999999999999,8.108830577421951,14.921249999999999,12.745837906099833,12.449375,9.79943975864607,1
2025-10-01 08:15:00,14.56,8,2,0,1,0,1,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,19.13,1.69,7.1,2.2,20.02,28.75,35.2,5.28,10.62,7.747666315306386,16.08125,12.151464858784955,12.475625,9.804831440842486,0
